Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed
84,2022-08-31T11:47:53Z,Workout,0,5931,5931,0,[],[],Workout,2022-08-31T11:47:53Z,(GMT+00:00) GMT,0,0,0,1,0,0,0
85,2022-08-31T09:17:10Z,Run,517.2,85,362,10.2,"[39.252915317192674, -76.71251138672233]","[39.25302260555327, -76.71257592737675]",Run,2022-08-31T13:17:10Z,(GMT-05:00) America/New_York,1,0,0,1,0,6.085,18.281
86,2022-08-30T12:59:41Z,Workout,0,4433,4433,0,[],[],Workout,2022-08-30T12:59:41Z,(GMT+00:00) GMT,0,0,0,1,0,0,0
87,2022-08-27T08:22:34Z,Run,10287.1,4768,4768,91.3,"[40.77151441946626, -73.96975452080369]","[40.773720452561975, -73.97124256007373]",Run,2022-08-27T12:22:34Z,(GMT-05:00) America/New_York,3,0,0,27,0,2.158,3.084
88,2022-08-24T08:32:16Z,Run,5058.2,2007,2044,0,"[40.71487764827907, -74.03590919449925]","[40.71296380832791, -74.03347953222692]",Run,2022-08-24T12:32:16Z,(GMT-05:00) America/New_York,5,0,0,1,0,2.52,5.738
89,2022-08-20T08:28:52Z,Run,12983.3,6724,6794,65.3,"[40.71265820413828, -74.00465684942901]","[40.767693780362606, -73.96590705960989]",Run,2022-08-20T12:28:52Z,(GMT-05:00) America/New_York,1,0,0,1,0,1.931,6.703
90,2022-08-07T07:02:21Z,Run,10386.5,5172,5213,5.5,"[40.71463239379227, -74.03594188392162]","[40.71241135708988, -74.03357164934278]",Run,2022-08-07T11:02:21Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.008,5.574
91,2022-08-03T07:44:12Z,Run,5247.3,2199,2237,0,"[40.71460800245404, -74.03605839237571]","[40.713324984535575, -74.03334341011941]",Run,2022-08-03T11:44:12Z,(GMT-05:00) America/New_York,3,0,0,1,0,2.386,4.586
92,2022-07-31T08:24:41Z,Run,10011.2,5174,5370,0,"[40.714741945266724, -74.03599133715034]","[40.710339685902, -74.04640308581293]",Run,2022-07-31T12:24:41Z,(GMT-05:00) America/New_York,11,0,0,1,0,1.935,4.206
93,2022-07-24T08:47:17Z,Run,9517.1,5459,5749,5.2,"[40.71463876403868, -74.03591690585017]","[40.71441890671849, -74.0346946567297]",Run,2022-07-24T12:47:17Z,(GMT-05:00) America/New_York,4,0,0,1,0,1.743,4.456
