country,fulltitle,country_OEL,continent,continent_OEL,panel#,continuityruns,continuityrunamount,continuitylength,continuityaveragelength,continuitymaxlength,continuityproportion,continuityruns%,continuityrunamount%,continuitylength%,continuityaveragelength%,continuitymaxlength%,continuityproportion%
Belgium/Flanders,Jerom - De bronzen kabouter,Belgium/Flanders,Europe,Europe,150,40,27,67,2.481481481,4,44.66666667,0.266666667,0.18,0.446666667,0.01654321,0.026666667,0.297777778
Belgium/Flanders,Jommeke - Het piepend bed,Belgium/Flanders,Europe,Europe,154,34,26,60,2.307692308,4,38.96103896,0.220779221,0.168831169,0.38961039,0.014985015,0.025974026,0.252993759
Belgium/Flanders,K3 - De hoed van Ya Ya Yippee,Belgium/Flanders,Europe,Europe,154,49,23,72,3.130434783,17,46.75324675,0.318181818,0.149350649,0.467532468,0.020327499,0.11038961,0.303592511
Belgium/Flanders,Kari Lente & Co,Belgium/Flanders,Europe,Europe,150,42,23,65,2.826086957,10,43.33333333,0.28,0.153333333,0.433333333,0.01884058,0.066666667,0.288888889
Belgium/Flanders,Meesterwerken in Beeld - Robinson Cruso.,Belgium/Flanders,Europe,Europe,91,41,19,60,3.157894737,7,65.93406593,0.450549451,0.208791209,0.659340659,0.03470214,0.076923077,0.724550175
Belgium/Flanders,Otto - Op hete kolen,Belgium/Flanders,Europe,Europe,150,95,33,128,3.878787879,9,85.33333333,0.633333333,0.22,0.853333333,0.025858586,0.06,0.568888889
Belgium/Flanders,Piet Pienter en Bert Bibber - Invasie uit het heelal,Belgium/Flanders,Europe,Europe,160,35,24,59,2.458333333,5,36.875,0.21875,0.15,0.36875,0.015364583,0.03125,0.23046875
Belgium/Flanders,Samson & Gert - De Vliegsiroop,Belgium/Flanders,Europe,Europe,153,59,27,86,3.185185185,17,56.20915033,0.385620915,0.176470588,0.562091503,0.020818204,0.111111111,0.367380068
Belgium/Flanders,Sloeber - Het Komplot,Belgium/Flanders,Europe,Europe,314,147,62,209,3.370967742,8,66.56050955,0.468152866,0.197452229,0.665605096,0.010735566,0.025477707,0.211976145
Belgium/Flanders,Suske en Wiske - De Poenschepper,Belgium/Flanders,Europe,Europe,161,52,33,85,2.575757576,5,52.79503106,0.322981366,0.204968944,0.527950311,0.015998494,0.031055901,0.327919448
Belgium/Flanders,Suske en Wiske - De snorrende snor,Belgium/Flanders,Europe,Europe,158,46,29,75,2.586206897,5,47.46835443,0.291139241,0.183544304,0.474683544,0.016368398,0.03164557,0.300432623
Belgium/Flanders,Suske en Wiske - De sprietatoom,Belgium/Flanders,Europe,Europe,156,59,35,94,2.685714286,6,60.25641026,0.378205128,0.224358974,0.602564103,0.017216117,0.038461538,0.38625904
Belgium/Flanders,Suske en Wiske - Het geheim van de Kalmhoutse heide,Belgium/Flanders,Europe,Europe,156,44,28,72,2.571428571,5,46.15384615,0.282051282,0.179487179,0.461538462,0.016483516,0.032051282,0.295857988
Belgium/Flanders,Suske en Wiske - Op het eiland Amoras,Belgium/Flanders,Europe,Europe,152,45,28,73,2.607142857,5,48.02631579,0.296052632,0.184210526,0.480263158,0.017152256,0.032894737,0.315962604
Belgium/Flanders,Suske en Wiske - Rikki en Wiske,Belgium/Flanders,Europe,Europe,152,54,32,86,2.6875,4,56.57894737,0.355263158,0.210526316,0.565789474,0.017680921,0.026315789,0.372229917
Belgium/Flanders,Thomas Pips - De rode Heks,Belgium/Flanders,Europe,Europe,308,95,42,137,3.261904762,11,44.48051948,0.308441558,0.136363636,0.444805195,0.0105906,0.035714286,0.144417271
Belgium/Flanders,W817 - Een keivet akke-fietje,Belgium/Flanders,Europe,Europe,152,46,21,67,3.19047619,11,44.07894737,0.302631579,0.138157895,0.440789474,0.020989975,0.072368421,0.289993075
Belgium/Flanders,Waterland - Onweer,Belgium/Flanders,Europe,Europe,137,22,16,38,2.375,4,27.73722628,0.160583942,0.116788321,0.277372263,0.017335766,0.02919708,0.202461506
Belgium/Flanders,Weer over naar jou,Belgium/Flanders,Europe,Europe,154,63,20,83,4.15,9,53.8961039,0.409090909,0.12987013,0.538961039,0.026948052,0.058441558,0.349974701
Belgium/Flanders,Willeke - De draak van Kokoluput,Belgium/Flanders,Europe,Europe,304,71,51,122,2.392156863,4,40.13157895,0.233552632,0.167763158,0.401315789,0.007868937,0.013157895,0.132011773
China,1/2 Prince,China,Asia,Asia,100,11,8,19,2.375,4,19,0.11,0.08,0.19,0.02375,0.04,0.19
China,Divine Melody,China,Asia,Asia,95,15,12,27,2.25,5,28.42105263,0.157894737,0.126315789,0.284210526,0.023684211,0.052631579,0.299168975
China,Heaven Sword and Dragon Sabre  - The King of Gold Lion-Zhune Shai,China,Asia,Asia,161,34,23,57,2.47826087,4,35.40372671,0.211180124,0.142857143,0.354037267,0.015392925,0.02484472,0.219898924
China,Mega Dragon & Tiger Future Kung Fu Action,China,Asia,Asia,153,48,27,75,2.777777778,7,49.01960784,0.31372549,0.176470588,0.490196078,0.01815541,0.045751634,0.320389594
China,Saint Legend,China,Asia,Asia,314,82,50,132,2.64,5,42.03821656,0.261146497,0.159235669,0.420382166,0.008407643,0.015923567,0.133879671
China,SNK vs. Capcom: SVC Chaos,China,Asia,Asia,150,28,20,48,2.4,4,32,0.186666667,0.133333333,0.32,0.016,0.026666667,0.213333333
China,Storm Riders,China,Asia,Asia,295,60,43,103,2.395348837,6,34.91525424,0.203389831,0.145762712,0.349152542,0.008119827,0.020338983,0.118356794
China,SVC Chaos: SNK vs Capcom,China,Asia,Asia,88,11,9,20,2.222222222,3,22.72727273,0.125,0.102272727,0.227272727,0.025252525,0.034090909,0.258264463
China,The King of Fighters,China,Asia,Asia,158,31,24,55,2.291666667,4,34.81012658,0.196202532,0.151898734,0.348101266,0.014504219,0.025316456,0.220317257
China,The King of Fighters: 2003,China,Asia,Asia,164,40,29,69,2.379310345,5,42.07317073,0.243902439,0.176829268,0.420731707,0.01450799,0.030487805,0.256543724
China,Tiger x Crane Record of the Demon Master,China,Asia,Asia,121,14,10,24,2.4,4,19.83471074,0.115702479,0.082644628,0.198347107,0.019834711,0.033057851,0.163923229
China,Xiewang Lin Jie,China,Asia,Asia,341,83,51,134,2.62745098,6,39.29618768,0.24340176,0.149560117,0.392961877,0.007705135,0.017595308,0.115238087
China,Yin Zhi Shoumuren (Silver Gravekeeper),China,Asia,Asia,72,2,2,4,2,2,5.555555556,0.027777778,0.027777778,0.055555556,0.027777778,0.027777778,0.077160494
France,Alter Ego,France,Europe,Europe,156,45,22,67,3.045454545,7,42.94871795,0.288461538,0.141025641,0.429487179,0.019522145,0.044871795,0.275312295
France,Catman - Une aventure de Cliff Burton,France,Europe,Europe,310,94,55,149,2.709090909,6,48.06451613,0.303225806,0.177419355,0.480645161,0.008739003,0.019354839,0.155046826
France,Child of the Storm,France,Europe,Europe,202,30,23,53,2.304347826,4,26.23762376,0.148514851,0.113861386,0.262376238,0.011407663,0.01980198,0.129889227
France,Donjon - La Fin du Donjon,France,Europe,Europe,544,73,37,110,2.972972973,13,20.22058824,0.134191176,0.068014706,0.202205882,0.005465024,0.023897059,0.037170199
