country,fulltitle,country_OEL,continent,continent_OEL,Situational,panel#,runs,amount,length,averagelength,maxlength,proportion,Frequency,PanelProportion,averagelength%,maxlength%
Germany,Mulle - Das Turbo-Pferd,Germany,Europe,Europe,Character,11,5,2,7,3.5,4,63.63636364,0.181818182,0.636363636,0.318181818,0.363636364
Germany,Mulle - Das ungluecklichste Pferd der Welt,Germany,Europe,Europe,Character,5,4,1,5,5,5,100,0.2,1,1,1
Germany,Mulle - Das verfressenste Pferd der Welt,Germany,Europe,Europe,Character,5,2,1,3,3,3,60,0.2,0.6,0.6,0.6
Germany,Mulle - Das verrueckteste Pferd der Welt,Germany,Europe,Europe,Character,5,1,1,2,2,2,40,0.2,0.4,0.4,0.4
Germany,Mulle - im Rueckwaertsgang,Germany,Europe,Europe,Character,18,8,4,12,3,5,66.66666667,0.222222222,0.666666667,0.166666667,0.277777778
Germany,Mulle - Mulle dreht voll auf,Germany,Europe,Europe,Character,50,5,3,8,2.666666667,3,16,0.06,0.16,0.053333333,0.06
Germany,Mulle - wird spruchreif,Germany,Europe,Europe,Character,24,9,6,15,2.5,4,62.5,0.25,0.625,0.104166667,0.166666667
Germany,Operation Odin,Germany,Europe,Europe,Character,161,30,18,48,2.666666667,7,29.8136646,0.111801242,0.298136646,0.016563147,0.043478261
Germany,Werner,Germany,Europe,Europe,Character,153,101,25,126,5.04,20,82.35294118,0.163398693,0.823529412,0.032941176,0.130718954
Japan,12 sai. ~Kokoro~,Japan,Asia,Asia,Character,284,50,29,79,2.724137931,8,27.81690141,0.102112676,0.278169014,0.009592035,0.028169014
Japan,Absolute Boyfriend,Japan,Asia,Asia,Character,200,23,16,39,2.4375,4,19.5,0.08,0.195,0.0121875,0.02
Japan,Ahiru No Sora,Japan,Asia,Asia,Character,103,24,15,39,2.6,4,37.86407767,0.145631068,0.378640777,0.025242718,0.038834951
Japan,Air Gear,Japan,Asia,Asia,Character,218,25,20,45,2.25,5,20.64220183,0.091743119,0.206422018,0.010321101,0.02293578
