country;fulltitle;country_OEL;continent;continent_OEL;panel#;charruns;charrunamount;charlength;charaveragelength;charmaxlength;charproportion;locationruns;locrunamount;loclength;locaveragelength;locmaxlength;locproportion;timeruns;timerunamount;timelength;timeaveragelength;timemaxlength;timeproportion;continuityruns;continuityrunamount;continuitylength;continuityaveragelength;continuitymaxlength;continuityproportion;discontinuity;discontinuityrunamount;discontinuitylength;discontinuitylength;discontinuitymaxlength;discontinuityproportion
Germany;Moga Mobo;Germany;Europe;Europe;441;95;57;152;2.666666667;6;34.46712018;238;58;296;5.103448276;48;67.12018141;431;8;153;19.125;57;34.69387755;65;38;103;2.710526316;6;23.35600907;2;2;4;2;2;0.907029478
Germany;Mulle - Das Beliebteste Pferd der Welt;Germany;Europe;Europe;5;1;1;2;2;2;40;0;0;0;0;0;0;4;1;5;5;5;100;0;0;0;0;0;0;0;0;0;0;0;0
Germany;Mulle - Das geplagteste Pferd der Welt;Germany;Europe;Europe;5;3;1;4;4;4;80;2;1;3;3;3;60;4;1;5;5;5;100;1;1;2;2;2;40;0;0;0;0;0;0
Germany;Mulle - Das lauteste Pferd der Welt;Germany;Europe;Europe;5;2;2;4;2;2;80;0;0;0;0;0;0;4;1;5;5;5;100;0;0;0;0;0;0;0;0;0;0;0;0
Germany;Mulle - Das sportlichste Pferd der Welt;Germany;Europe;Europe;5;2;1;3;3;3;60;4;1;5;5;5;100;4;1;5;5;5;100;2;1;3;3;3;60;0;0;0;0;0;0
Germany;Mulle - das Teufelspferd;Germany;Europe;Europe;19;13;4;17;4.25;7;89.47368421;9;4;13;3.25;5;68.42105263;18;1;19;19;19;100;7;4;11;2.75;5;57.89473684;0;0;0;0;0;0
Germany;Mulle - Das Turbo-Pferd;Germany;Europe;Europe;11;5;2;7;3.5;4;63.63636364;4;2;6;3;4;54.54545455;10;1;11;11;11;100;3;2;5;2.5;3;45.45454545;0;0;0;0;0;0
Germany;Mulle - Das ungluecklichste Pferd der Welt;Germany;Europe;Europe;5;4;1;5;5;5;100;1;1;2;2;2;40;4;1;5;5;5;100;2;1;3;3;3;60;0;0;0;0;0;0
Germany;Mulle - Das verfressenste Pferd der Welt;Germany;Europe;Europe;5;2;1;3;3;3;60;1;1;2;2;2;40;4;1;5;5;5;100;0;0;0;0;0;0;0;0;0;0;0;0
Germany;Mulle - Das verrueckteste Pferd der Welt;Germany;Europe;Europe;5;1;1;2;2;2;40;4;1;5;5;5;100;4;1;5;5;5;100;2;1;3;3;3;60;0;0;0;0;0;0
Germany;Mulle - im Rueckwaertsgang;Germany;Europe;Europe;18;8;4;12;3;5;66.66666667;14;3;17;5.666666667;8;94.44444444;17;1;18;18;18;100;8;4;12;3;5;66.66666667;0;0;0;0;0;0
Germany;Mulle - Mulle dreht voll auf;Germany;Europe;Europe;50;5;3;8;2.666666667;3;16;17;9;26;2.888888889;5;52;46;3;49;16.33333333;28;98;5;3;8;2.666666667;3;16;2;2;4;2;2;8
Germany;Mulle - wird spruchreif;Germany;Europe;Europe;24;9;6;15;2.5;4;62.5;14;5;19;3.8;7;79.16666667;23;1;24;24;24;100;9;6;15;2.5;4;62.5;0;0;0;0;0;0
Germany;Operation Odin;Germany;Europe;Europe;161;30;18;48;2.666666667;7;29.8136646;83;31;114;3.677419355;8;70.80745342;147;11;159;14.45454545;59;98.75776398;22;13;35;2.692307692;4;21.73913043;13;12;25;2.083333333;3;15.52795031
Germany;Werner;Germany;Europe;Europe;153;101;25;126;5.04;20;82.35294118;139;10;149;14.9;36;97.38562092;145;6;151;25.16666667;39;98.69281046;99;25;124;4.96;20;81.04575163;6;5;11;2.2;3;7.189542484
Japan;12 sai. ~Kokoro~;Japan;Asia;Asia;284;50;29;79;2.724137931;8;27.81690141;259;17;276;17.25;62;97.18309859;238;27;266;9.851851852;62;93.66197183;45;26;71;2.730769231;7;25;16;12;28;2.333333333;3;9.85915493
Japan;Absolute Boyfriend;Japan;Asia;Asia;200;23;16;39;2.4375;4;19.5;168;18;186;10.33333333;38;93;160;26;187;7.192307692;56;93.5;19;15;34;2.266666667;4;17;14;12;26;2.166666667;3;13
Japan;Ahiru No Sora;Japan;Asia;Asia;103;24;15;39;2.6;4;37.86407767;49;19;68;3.578947368;13;66.01941748;77;13;90;6.923076923;18;87.37864078;10;9;19;2.111111111;3;18.44660194;12;9;21;2.333333333;3;20.38834951
Japan;Air Gear;Japan;Asia;Asia;218;25;20;45;2.25;5;20.64220183;165;30;195;6.5;18;89.44954128;102;53;155;2.924528302;10;71.10091743;14;11;25;2.272727273;5;11.46788991;23;20;43;2.15;3;19.72477064
Japan;Ansatsu Kyoushitsu;Japan;Asia;Asia;284;17;14;31;2.214285714;3;10.91549296;176;50;226;4.52;19;79.57746479;198;57;255;4.473684211;15;89.78873239;13;11;24;2.181818182;3;8.450704225;25;21;46;2.19047619;3;16.1971831
Japan;Ao no Exorcist;Japan;Asia;Asia;336;88;65;153;2.353846154;4;45.53571429;283;44;327;7.431818182;28;97.32142857;162;84;246;2.928571429;15;73.21428571;48;40;88;2.2;3;26.19047619;13;12;25;2.083333333;3;7.44047619
Japan;Ashi-Girl;Japan;Asia;Asia;192;38;32;70;2.1875;4;36.45833333;156;20;176;8.8;33;91.66666667;138;27;114;4.222222222;14;59.375;28;23;51;2.217391304;4;26.5625;16;11;27;2.454545455;3;14.0625
