country_OEL;fulltitle;Situational;Averagelength;Proportion
USA;The Flame - Dr. Ivan's Insurance Bombing Racket.;Time;8.212121212;92.80821918
USA;The Flash - Flashing Wheels;Time;4.833333333;81.69014085
USA;The Incredible Hulk - Best Intentions;Time;8.076923077;95.45454545
USA;The Invincible Iron Man - Ten Rings to Rule the World;Time;8.2;94.25287356
USA;The Punisher - Blackout;Time;7.783783784;96.96969697
USA;The Punisher - Do Not Fall in New York City;Time;11.35714286;99.375
USA;The Story of Roberto Clemente;Time;10.07692308;92.90780142
USA;Uncanny X-men;Time;14.5;96.66666667
USA;Venom: Funeral Pyre - High Tension;Time;9.333333333;88.42105263
USA;Wolverine - Not dead yet part;Time;10.71428571;96.15384615
USA;Wonder Woman - His Name is Psycho;Time;8;88.23529412
USA;Wonder Woman - The Huntress;Time;10.4;98.11320755
Belgium/Flanders;Baxter - H2O;Spatial location;5.153846154;87.58169935
Belgium/Flanders;Bessy  - Ondergang in de grot;Spatial location;9.25;94.87179487
Belgium/Flanders;Bessy Natuurkommando - De nacht van de schildpad;Spatial location;5.541666667;86.92810458
Belgium/Flanders;Biebel - De Doos;Spatial location;12.33333333;98.01324503
Belgium/Flanders;De avonturen van Johan en Stefan - De Zondebokken;Spatial location;7.882352941;89.93288591
Belgium/Flanders;De avonturen van Jommeke - De muzikale Bella;Spatial location;5.708333333;88.38709677
Belgium/Flanders;De avonturen van Nero en Co - De brief aan Nasser;Spatial location;5.84;92.40506329
Belgium/Flanders;De avonturen van Nero en Co - De hoorn des overvloeds;Spatial location;8.764705882;92.54658385
Belgium/Flanders;De Avonturen van Urbanus - Tegen de Dikkenekken;Spatial location;5.137931034;92.54658385
Belgium/Flanders;De Kiekeboes - Vluchtmisdrijf;Spatial location;5.259259259;94.0397351
Belgium/Flanders;De Kriegels - Happy Halloween, Mister Zablowski;Spatial location;4.821428571;90
Belgium/Flanders;De Rode Ridder - Het gebroken zwaard;Spatial location;9.933333333;94.9044586
Belgium/Flanders;De rode ridder - Kerwyn de Magiër;Spatial location;7.3;94.19354839
Belgium/Flanders;De Spookjes - Spoken en piraten;Spatial location;5.44;90.06622517
Belgium/Flanders;De Vrolijke Bengels;Spatial location;3.052631579;76.31578947
Belgium/Flanders;Detective Van Zwam - Het Geheim van Matsuoka;Spatial location;9.4375;96.79487179
Belgium/Flanders;F.C. De Kampioenen - Miss Moeial;Spatial location;14.5;93.5483871
Belgium/Flanders;FC Schwalbe - Daar is 'm ;Spatial location;5.384615385;92.71523179
Belgium/Flanders;Het Grote Kabouter Wesley Boek;Spatial location;8.263157895;93.45238095
